Name,Niche,Followers,Engagement
User 1069,Gaming,"729,432",1.80%
User 5902,Travel,"622,313",10.60%
User 6127,Travel,"721,408",3.50%
User 8551,Travel,"554,445",10.00%
User 3686,Tech,"913,138",8.70%
User 2277,Travel,"604,967",7.60%
User 7215,Food,"910,963",1.90%
User 5291,Food,"28,166",10.80%
User 2285,Gaming,"209,274",1.10%
User 8547,Food,"362,397",5.60%
User 5917,Food,"714,098",2.40%
User 5388,Gaming,"414,038",5.90%
User 9106,Food,"585,034",5.40%
User 6512,Food,"486,244",3.50%
User 4288,Gaming,"790,193",6.70%
User 7839,Travel,"93,732",3.60%
User 2123,Tech,"807,818",11.20%
User 7361,Travel,"650,526",3.10%
User 4068,Travel,"247,139",5.10%
User 2718,Gaming,"128,721",11.80%
User 3360,Fashion,"31,333",9.50%
User 2755,Fashion,"568,534",5.50%
User 3608,Food,"258,523",11.50%
User 6443,Food,"133,714",11.30%
User 8454,Gaming,"443,006",10.70%
User 7949,Food,"832,006",10.60%
User 1154,Fashion,"626,974",7.30%
User 3374,Food,"863,383",9.60%
User 7477,Travel,"716,213",3.00%
User 3392,Food,"104,017",1.00%
User 3554,Fashion,"305,508",12.50%
User 4175,Tech,"441,115",13.50%
User 7887,Travel,"534,092",11.70%
User 7073,Fashion,"556,210",3.40%
User 3464,Gaming,"31,473",5.50%
User 8481,Tech,"267,151",3.30%
User 4947,Travel,"445,689",2.10%
User 5523,Tech,"564,654",7.30%
User 4343,Tech,"268,766",12.20%
User 2912,Fashion,"973,040",9.20%
User 9147,Gaming,"660,124",4.80%
User 8032,Gaming,"379,009",14.80%
User 8896,Tech,"583,438",4.00%
User 2445,Gaming,"208,164",4.70%
User 2932,Gaming,"157,184",12.10%
User 5103,Tech,"928,548",7.60%
User 1103,Tech,"432,626",8.40%
User 3445,Tech,"653,874",1.30%
User 5530,Travel,"666,350",11.30%
User 7598,Food,"963,097",13.00%
User 2682,Gaming,"102,818",10.80%
User 1421,Tech,"459,720",9.80%
User 5782,Gaming,"668,648",12.70%
User 6352,Tech,"440,103",11.60%
User 1628,Travel,"194,977",3.00%
User 8705,Food,"153,315",10.30%
User 7669,Travel,"529,039",9.70%
User 9234,Gaming,"458,672",12.90%
User 4466,Food,"618,840",2.00%
User 6825,Tech,"210,441",7.80%
User 3653,Tech,"302,124",5.00%
User 5784,Gaming,"59,777",7.00%
User 7984,Fashion,"531,886",1.10%
User 3263,Gaming,"666,271",10.50%
User 3042,Travel,"526,934",1.90%
User 2585,Gaming,"885,665",1.60%
User 3522,Gaming,"38,940",2.50%
User 4695,Fashion,"549,847",2.40%
User 9343,Fashion,"550,346",12.40%
User 4467,Fashion,"63,016",11.60%
User 2328,Tech,"758,272",4.00%
User 1551,Tech,"462,384",5.40%
User 6955,Gaming,"521,332",8.00%
User 4488,Tech,"622,458",5.70%
User 8102,Travel,"554,183",14.30%
User 9931,Tech,"331,456",9.60%
User 7648,Tech,"231,723",3.40%
User 5402,Travel,"488,695",10.80%
User 6617,Fashion,"811,670",3.40%
User 7467,Food,"213,693",2.70%
User 2930,Travel,"393,505",8.70%
User 6978,Travel,"305,813",14.20%
User 5215,Fashion,"677,574",5.30%
User 3746,Travel,"43,330",5.70%
User 7846,Tech,"786,828",3.70%
User 9096,Gaming,"398,131",11.70%
User 9074,Fashion,"555,889",15.00%
User 9287,Food,"386,703",11.10%
User 4728,Food,"940,959",11.90%
User 4035,Tech,"745,439",5.80%
User 7329,Tech,"998,448",5.00%
User 1845,Tech,"593,666",7.10%
User 5121,Tech,"664,225",3.50%
User 4726,Tech,"147,509",6.70%
User 2578,Travel,"838,106",10.30%
User 1076,Food,"208,861",11.90%
User 6456,Travel,"787,746",14.30%
User 1060,Food,"677,398",14.00%
User 4787,Travel,"39,834",7.10%
User 7157,Gaming,"152,845",8.30%
User 1021,Gaming,"949,269",6.00%
User 1489,Food,"137,268",13.20%
User 4357,Fashion,"293,674",4.00%
User 6006,Fashion,"976,208",6.40%
User 3455,Travel,"98,829",2.00%
User 3316,Tech,"432,321",6.90%
User 4941,Tech,"811,488",15.00%
User 8169,Gaming,"435,072",11.50%
User 1275,Gaming,"683,209",1.00%
User 3006,Tech,"740,805",4.70%
User 9631,Gaming,"124,716",8.20%
User 7266,Fashion,"734,719",13.30%
User 7942,Tech,"160,207",5.10%
User 8825,Fashion,"861,109",1.00%
User 8285,Fashion,"948,973",4.60%
User 6142,Food,"86,477",5.90%
User 1558,Tech,"529,712",1.70%
User 9891,Tech,"372,538",4.20%
User 5112,Travel,"357,267",2.80%
User 9489,Food,"584,589",12.20%
User 3604,Travel,"124,292",5.70%
User 6454,Gaming,"97,571",8.80%
User 8097,Food,"518,006",9.90%
User 2789,Food,"49,339",10.40%
User 1029,Tech,"728,658",9.10%
User 2860,Food,"893,182",7.90%
User 8488,Travel,"302,522",10.30%
User 5867,Tech,"149,482",10.40%
User 1606,Gaming,"461,784",5.20%
User 9186,Travel,"977,220",8.00%
User 3369,Tech,"873,942",13.00%
User 8193,Tech,"67,798",3.80%
User 4730,Gaming,"505,818",6.20%
User 4969,Fashion,"828,784",3.40%
User 3293,Fashion,"213,492",5.70%
User 6391,Tech,"961,497",10.20%
User 2707,Tech,"932,987",11.30%
User 1808,Gaming,"223,142",5.40%
User 8034,Fashion,"184,095",4.80%
User 5025,Travel,"715,207",3.30%
User 5172,Fashion,"362,764",6.60%
User 8872,Travel,"86,868",10.90%
User 9816,Food,"379,086",11.40%
User 5876,Gaming,"798,365",5.80%
User 5465,Food,"122,336",7.20%
User 8508,Tech,"689,677",6.20%
User 5767,Gaming,"461,295",5.70%
User 5365,Tech,"597,994",10.20%
User 7696,Food,"929,123",1.50%
User 7197,Tech,"142,747",9.00%
User 3928,Fashion,"141,440",3.50%
User 6709,Food,"221,152",3.90%
User 4714,Travel,"832,594",7.70%
User 2116,Food,"292,316",14.90%
User 8884,Travel,"247,861",9.40%
User 5671,Gaming,"618,696",5.40%
User 4436,Gaming,"301,016",5.10%
User 6395,Tech,"901,824",6.80%
User 9979,Gaming,"571,012",11.40%
User 6494,Fashion,"852,459",7.10%
User 7781,Fashion,"909,941",3.10%
User 8982,Travel,"413,059",10.90%
User 4089,Tech,"285,902",14.10%
User 7703,Fashion,"457,523",2.80%
User 1974,Fashion,"31,312",6.20%
User 5704,Tech,"688,474",1.60%
User 3169,Gaming,"797,755",5.30%
User 7011,Food,"159,888",4.60%
User 8156,Tech,"269,968",2.30%
User 9720,Food,"896,146",2.60%
User 2116,Gaming,"808,615",10.70%
User 5443,Fashion,"653,609",12.70%
User 3002,Tech,"217,031",5.20%
User 6055,Food,"67,812",8.70%
User 6016,Travel,"224,394",15.00%
User 4181,Travel,"746,298",14.70%
User 2556,Food,"199,276",10.80%
User 3324,Food,"946,881",13.90%
User 5509,Food,"305,996",2.10%
User 2324,Tech,"939,829",13.80%
User 6596,Fashion,"343,004",9.30%
User 8069,Food,"466,439",7.20%
User 9834,Fashion,"116,617",11.20%
User 1941,Food,"450,095",3.80%
User 4607,Tech,"228,165",7.70%
User 1368,Food,"520,998",13.90%
User 8082,Fashion,"873,143",15.00%
User 8309,Tech,"719,818",5.30%
User 3918,Fashion,"812,663",14.90%
User 5473,Fashion,"795,964",8.70%
User 2360,Food,"312,710",14.90%
User 5229,Fashion,"737,577",2.60%
User 1587,Fashion,"117,659",3.10%
User 9309,Fashion,"38,753",2.50%
User 6809,Fashion,"524,042",14.70%
User 4629,Food,"832,585",4.20%
User 2431,Food,"346,542",13.30%
User 9582,Travel,"527,913",3.00%
User 6923,Food,"31,931",14.40%
User 3486,Tech,"190,096",11.50%
User 9946,Food,"767,840",7.40%
User 9103,Travel,"503,712",3.70%
User 9181,Fashion,"56,546",2.30%
User 1220,Tech,"5,850",11.00%
User 5961,Travel,"662,865",13.20%
User 7684,Food,"935,314",7.60%
User 4796,Tech,"22,671",7.90%
User 3356,Tech,"78,546",8.60%
User 9559,Tech,"102,200",2.10%
User 4639,Travel,"361,910",2.10%
User 3284,Food,"355,924",1.50%
User 8173,Tech,"627,997",12.30%
User 6191,Gaming,"134,306",10.40%
User 3456,Tech,"462,053",10.30%
User 1638,Fashion,"544,200",12.10%
User 9520,Fashion,"316,436",11.20%
User 6916,Tech,"212,545",3.20%
User 4730,Gaming,"671,859",3.30%
User 4133,Food,"240,165",8.60%
User 5734,Tech,"756,272",9.30%
User 7410,Tech,"322,809",4.30%
User 1770,Tech,"410,821",10.90%
User 6156,Gaming,"914,513",9.10%
User 7820,Tech,"296,572",5.00%
User 2702,Tech,"340,607",4.80%
User 9635,Fashion,"435,576",9.10%
User 4015,Travel,"204,968",13.80%
User 8670,Food,"477,630",6.00%
User 9609,Travel,"593,028",12.00%
User 9499,Food,"427,222",1.10%
User 6385,Gaming,"612,614",3.30%
User 7116,Gaming,"385,087",8.00%
User 1490,Gaming,"472,416",12.60%
User 6370,Tech,"154,601",10.10%
User 7874,Gaming,"693,060",8.40%
User 8034,Tech,"39,347",9.10%
User 3251,Gaming,"210,784",3.30%
User 9195,Tech,"470,369",10.30%
User 4249,Tech,"175,238",13.50%
User 9549,Fashion,"96,362",6.30%
User 5486,Fashion,"611,118",4.40%
User 7275,Fashion,"955,696",3.10%
User 4001,Food,"745,278",5.60%
User 7648,Travel,"383,294",10.30%
User 4294,Travel,"609,623",11.70%
User 8742,Tech,"236,044",7.00%
User 9259,Travel,"377,831",8.40%
User 6122,Fashion,"211,070",7.80%
User 8539,Fashion,"24,732",8.20%
User 6593,Fashion,"866,666",4.60%
User 1551,Travel,"143,582",11.00%
User 5840,Fashion,"983,512",8.70%
User 7308,Food,"758,333",12.90%
User 2353,Fashion,"235,245",2.50%
User 2537,Fashion,"437,316",12.60%
User 6796,Food,"365,368",13.60%
User 8879,Gaming,"16,082",11.80%
User 2046,Travel,"62,523",3.90%
User 7654,Food,"413,904",7.90%
User 9246,Gaming,"126,464",8.50%
User 6760,Fashion,"790,032",15.00%
User 4526,Fashion,"988,690",13.10%
User 1525,Fashion,"219,952",5.60%
User 8512,Travel,"872,004",5.70%
User 7288,Food,"25,875",3.30%
User 5630,Gaming,"178,919",1.00%
User 8142,Gaming,"306,515",10.90%
User 5720,Tech,"26,122",2.10%
User 4800,Travel,"332,170",2.70%
User 5815,Tech,"44,604",7.40%
User 7043,Gaming,"698,318",14.60%
User 4813,Food,"800,840",12.50%
User 4646,Fashion,"106,664",2.50%
